epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
43,1402.36,1.84883,0.76798,0.18754,2.2601,0.01105,5.2736,0.40375,0.42857,0.37302,0.14432,0.39813,0.51531,0.40507,0.35814,1.78265,0.78385,0.03593,2.18368,0.01245,0,0.0011684,0.0011684,0.0011684
44,1458.87,1.89421,0.8366,0.2105,2.34999,0.01104,5.34186,0.41616,0.40306,0.37175,0.16844,0.44776,0.43367,0.40186,0.36071,1.76577,0.84173,0.04161,2.27856,0.01236,0,0.0011486,0.0011486,0.0011486
45,1501.25,1.81835,0.66946,0.1976,2.20233,0.01076,4.99245,0.41951,0.37755,0.35543,0.14786,0.44158,0.43367,0.38697,0.35701,1.8689,0.63945,0.04513,2.30047,0.01284,0,0.0011288,0.0011288,0.0011288
46,1538.01,1.79182,0.68379,0.19305,2.17268,0.01052,5.06413,0.4137,0.4788,0.38663,0.18039,0.456,0.5,0.42285,0.39134,1.83682,0.6265,0.04035,2.15507,0.01266,0,0.001109,0.001109,0.001109
47,1580.68,1.85368,0.66282,0.21351,2.17898,0.01104,4.92792,0.49727,0.45918,0.42867,0.18867,0.50832,0.46939,0.45132,0.41679,1.69998,0.58042,0.04098,2.13917,0.01173,0,0.0010892,0.0010892,0.0010892
48,1638.42,1.89554,0.81761,0.21132,2.29072,0.01104,5.19361,0.46444,0.39379,0.38574,0.1792,0.45753,0.42857,0.40853,0.37113,1.75409,0.60834,0.0409,2.26795,0.01222,0,0.0010694,0.0010694,0.0010694
49,1675.02,1.78206,0.72981,0.20248,2.22856,0.01003,4.62966,0.44574,0.46364,0.39775,0.18056,0.4509,0.49018,0.42021,0.38755,1.79228,0.69067,0.04394,2.1782,0.01243,0,0.0010496,0.0010496,0.0010496
50,1707.34,1.79361,0.79465,0.20456,2.27785,0.01064,5.25168,0.35372,0.45918,0.33337,0.14921,0.38045,0.48876,0.36846,0.3361,1.82287,0.7387,0.04286,2.38295,0.01279,0,0.0010298,0.0010298,0.0010298
51,1744.9,1.79764,0.70506,0.18379,2.08847,0.01017,4.73442,0.46639,0.38776,0.36173,0.16318,0.51155,0.46429,0.42221,0.3809,1.81401,0.68574,0.03951,2.26519,0.01285,0,0.00101,0.00101,0.00101
52,1776.87,1.86093,0.78486,0.19823,2.1695,0.01126,5.224,0.44134,0.44898,0.39112,0.15626,0.47644,0.48469,0.43183,0.38983,1.76799,0.63983,0.04666,2.28832,0.01232,0,0.0009902,0.0009902,0.0009902
53,1814.46,1.89731,0.73935,0.18686,2.0751,0.01139,5.05456,0.45076,0.42857,0.35972,0.15978,0.48242,0.46429,0.39737,0.36346,1.78563,0.6847,0.05066,2.26377,0.01227,0,0.0009704,0.0009704,0.0009704
54,1851.48,1.85157,0.71823,0.18465,2.2743,0.01095,4.94293,0.4541,0.42017,0.37304,0.15763,0.49306,0.45408,0.40591,0.37923,1.7522,0.57841,0.0437,2.19495,0.012,0,0.0009506,0.0009506,0.0009506
55,1903.4,1.81995,0.7466,0.19553,2.19957,0.01038,5.00111,0.43288,0.42347,0.4033,0.17781,0.45896,0.44898,0.42911,0.39068,1.78946,0.63054,0.04024,2.12336,0.01247,0,0.0009308,0.0009308,0.0009308
56,1941.62,1.75481,0.61479,0.17841,2.10587,0.01042,4.76885,0.39191,0.42857,0.3773,0.17539,0.4178,0.46865,0.40313,0.3647,1.67051,0.60755,0.03964,2.21346,0.0115,0,0.000911,0.000911,0.000911
57,1978.64,1.79012,0.66302,0.19234,2.03398,0.01083,4.68746,0.41215,0.34694,0.31872,0.14049,0.43829,0.36735,0.34173,0.31251,1.77702,0.7504,0.04255,2.60948,0.01238,0,0.0008912,0.0008912,0.0008912
58,2015.44,1.77996,0.64876,0.20472,2.04639,0.01061,4.6734,0.47279,0.40306,0.40814,0.19118,0.48594,0.43367,0.44102,0.41171,1.69453,0.56312,0.04244,2.20543,0.01171,0,0.0008714,0.0008714,0.0008714
59,2071.75,1.73982,0.64038,0.19388,2.04681,0.01001,4.46549,0.42438,0.42857,0.372,0.17203,0.43546,0.45918,0.39657,0.35924,1.67064,0.58473,0.04104,2.35165,0.01169,0,0.0008516,0.0008516,0.0008516
60,2102.96,1.78514,0.71928,0.16384,2.11781,0.01053,4.89177,0.45456,0.45408,0.3897,0.18406,0.48137,0.46939,0.43506,0.3997,1.7191,0.68297,0.0418,2.20397,0.01189,0,0.0008318,0.0008318,0.0008318
61,2138.53,1.75559,0.69415,0.1759,2.0675,0.01038,4.77913,0.35042,0.46429,0.35026,0.15203,0.42276,0.53571,0.41947,0.38816,1.75402,0.68511,0.04167,2.26119,0.01199,0,0.000812,0.000812,0.000812
62,2175.59,1.83491,0.70352,0.18332,2.14769,0.01079,4.9709,0.49789,0.42347,0.40356,0.19028,0.51813,0.45918,0.4403,0.39947,1.72739,0.59871,0.0407,2.18792,0.01185,0,0.0007922,0.0007922,0.0007922
63,2212.38,1.71894,0.67742,0.20525,2.03009,0.0098,4.61793,0.4897,0.44898,0.42561,0.19609,0.53476,0.47449,0.46502,0.42922,1.72337,0.59676,0.03952,2.15611,0.01181,0,0.0007724,0.0007724,0.0007724
64,2248.17,1.7371,0.64828,0.17234,1.93924,0.01067,4.54437,0.4918,0.43878,0.40772,0.18851,0.52039,0.46429,0.43799,0.39898,1.73494,0.58617,0.04432,2.21191,0.012,0,0.0007526,0.0007526,0.0007526
65,2283.92,1.71887,0.69651,0.16794,2.01936,0.0098,4.62125,0.50592,0.47449,0.40099,0.18862,0.53308,0.49513,0.4522,0.41649,1.70713,0.55062,0.04397,2.19038,0.01181,0,0.0007328,0.0007328,0.0007328
66,2320.9,1.71022,0.59727,0.16349,1.93998,0.01005,4.20682,0.48637,0.43878,0.42482,0.2103,0.51814,0.47959,0.4689,0.43343,1.7207,0.61686,0.04329,2.16146,0.01193,0,0.000713,0.000713,0.000713
67,2387.88,1.71979,0.6864,0.17667,2.00886,0.00958,4.36066,0.44572,0.44898,0.40701,0.19216,0.5245,0.47449,0.46283,0.41684,1.76577,0.61275,0.0418,2.13376,0.0122,0,0.0006932,0.0006932,0.0006932
68,2423.29,1.72607,0.58412,0.17288,1.96202,0.00997,4.36956,0.43221,0.43498,0.39867,0.1861,0.45897,0.44898,0.43752,0.40209,1.70128,0.56563,0.04907,2.15326,0.01165,0,0.0006734,0.0006734,0.0006734
69,2459.95,1.71211,0.67646,0.17101,2.1132,0.00994,4.62463,0.42499,0.46939,0.39768,0.19741,0.4827,0.4949,0.45406,0.41609,1.7279,0.57363,0.04174,2.16989,0.01193,0,0.0006536,0.0006536,0.0006536
70,2496.89,1.67604,0.54783,0.16541,1.96251,0.00964,4.29482,0.42477,0.45408,0.37421,0.17442,0.46295,0.4949,0.41874,0.38195,1.77511,0.67508,0.04836,2.29052,0.01234,0,0.0006338,0.0006338,0.0006338
