epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
35,402.628,1.68019,1.27655,0.26705,1.71167,0.01016,7.91116,0.38838,0.46269,0.40339,0.19601,0.46633,0.50866,0.47429,0.37179,1.62321,1.1151,0.049,1.91889,0.01054,0,0.0013268,0.0013268,0.0013268
36,414.404,1.62058,1.07113,0.23969,1.65451,0.00946,7.34622,0.36785,0.49254,0.37896,0.19308,0.3771,0.53314,0.39304,0.29961,1.69248,1.39827,0.05183,1.75542,0.01136,0,0.001307,0.001307,0.001307
37,424.797,1.61733,1.13464,0.25347,1.61668,0.00933,7.63191,0.37908,0.47761,0.41399,0.21698,0.37908,0.47761,0.42481,0.32879,1.38902,1.19303,0.0461,1.99841,0.00898,0,0.0012872,0.0012872,0.0012872
38,435.64,1.60407,1.09805,0.25757,1.64248,0.00936,7.45427,0.44388,0.55224,0.41165,0.20891,0.44388,0.55224,0.43119,0.32497,1.53869,1.26707,0.03603,1.69281,0.01017,0,0.0012674,0.0012674,0.0012674
39,447.072,1.69775,1.08056,0.23845,1.66753,0.00954,7.25788,0.39709,0.46269,0.33379,0.16962,0.40106,0.49254,0.36538,0.27199,1.54715,1.3259,0.04939,1.79419,0.01023,0,0.0012476,0.0012476,0.0012476
40,458.1,1.6127,1.12808,0.21859,1.65196,0.00952,7.51492,0.42729,0.44545,0.41518,0.21288,0.49497,0.41791,0.43738,0.32421,1.62125,1.34493,0.04402,1.6103,0.01093,0,0.0012278,0.0012278,0.0012278
41,468.238,1.54587,1.11535,0.22515,1.51463,0.00892,7.13174,0.37076,0.47761,0.34939,0.17505,0.37125,0.52239,0.38953,0.29187,1.62744,1.19859,0.06472,2.05418,0.01083,0,0.001208,0.001208,0.001208
42,479.451,1.63698,1.10606,0.22536,1.66985,0.00929,7.54079,0.37946,0.54765,0.42477,0.21612,0.38015,0.71642,0.47009,0.35704,1.49999,1.23636,0.05527,1.65928,0.0096,0,0.0011882,0.0011882,0.0011882
43,490.808,1.56301,0.99255,0.21677,1.45095,0.00853,6.92033,0.38078,0.52239,0.44301,0.20893,0.3882,0.53983,0.45579,0.31735,1.69151,1.36942,0.05014,1.56952,0.01097,0,0.0011684,0.0011684,0.0011684
44,501.202,1.56862,1.06963,0.22092,1.44401,0.00911,7.12335,0.48007,0.52369,0.44857,0.23021,0.48648,0.53729,0.46808,0.37221,1.49863,1.11111,0.04238,1.81236,0.00999,0,0.0011486,0.0011486,0.0011486
45,511.989,1.51,0.88795,0.19748,1.51814,0.00859,6.88675,0.39694,0.55016,0.42348,0.21784,0.40058,0.56716,0.42948,0.34438,1.5988,1.14717,0.05226,1.98903,0.01058,0,0.0011288,0.0011288,0.0011288
46,523.084,1.55736,1.00859,0.26324,1.61162,0.00901,6.93463,0.36153,0.58209,0.35703,0.1806,0.37663,0.64026,0.37825,0.28783,1.36804,1.16807,0.12371,2.2849,0.00891,0,0.001109,0.001109,0.001109
47,534.25,1.60779,0.99478,0.23034,1.65743,0.00914,6.85454,0.43755,0.52239,0.39705,0.1862,0.44819,0.56716,0.42219,0.32345,1.38334,1.23103,0.10698,2.26923,0.00913,0,0.0010892,0.0010892,0.0010892
48,544.093,1.54696,1.05975,0.23311,1.56229,0.00859,6.93981,0.46296,0.56716,0.46318,0.22254,0.47419,0.58209,0.48209,0.37075,1.43853,1.14402,0.08103,2.0832,0.00936,0,0.0010694,0.0010694,0.0010694
49,555.31,1.53935,1.1441,0.26293,1.45561,0.00923,7.10952,0.40241,0.52239,0.45274,0.24178,0.40071,0.52239,0.46197,0.36163,1.5819,1.24944,0.05188,1.77304,0.01032,0,0.0010496,0.0010496,0.0010496
50,566.603,1.60423,1.04666,0.23512,1.50765,0.00935,6.85884,0.44468,0.50202,0.48542,0.23242,0.44468,0.50202,0.50254,0.38814,1.54252,1.28217,0.08314,1.93624,0.01011,0,0.0010298,0.0010298,0.0010298
51,577.31,1.49333,0.99404,0.24327,1.51311,0.0083,6.79062,0.43076,0.62687,0.45851,0.19336,0.42271,0.64179,0.4936,0.37632,1.39919,1.21159,0.08115,2.06431,0.00906,0,0.00101,0.00101,0.00101
52,587.613,1.47905,0.9589,0.20885,1.47734,0.00856,6.95207,0.41703,0.52239,0.44848,0.18729,0.4647,0.58209,0.50152,0.39078,1.60945,1.07905,0.09468,2.01455,0.01058,0,0.0009902,0.0009902,0.0009902
53,598.965,1.53816,1.06997,0.19745,1.48435,0.0086,6.76645,0.40322,0.51436,0.38781,0.16624,0.44217,0.56788,0.46505,0.36148,1.54101,1.03914,0.07292,2.15639,0.01016,0,0.0009704,0.0009704,0.0009704
54,610.178,1.5271,1.02222,0.23349,1.48851,0.00878,7.00262,0.48317,0.46269,0.40265,0.20383,0.47235,0.46769,0.42971,0.3364,1.39076,1.26283,0.05411,1.88935,0.00915,0,0.0009506,0.0009506,0.0009506
55,622.922,1.5065,0.97045,0.21915,1.42907,0.00882,7.00604,0.5161,0.52239,0.45382,0.23994,0.5161,0.52239,0.46739,0.36746,1.37916,1.23429,0.05674,1.89886,0.009,0,0.0009308,0.0009308,0.0009308
56,635.663,1.43986,1.0344,0.20521,1.45382,0.00817,6.78657,0.52101,0.51955,0.46894,0.24819,0.52101,0.51955,0.48267,0.3802,1.30182,1.21502,0.05003,1.92902,0.00857,0,0.000911,0.000911,0.000911
57,648.182,1.5187,1.01494,0.23148,1.49752,0.00877,6.97755,0.45319,0.47011,0.37496,0.18653,0.48242,0.50746,0.43246,0.33976,1.43333,1.15943,0.07772,1.96511,0.00917,0,0.0008912,0.0008912,0.0008912
58,660.067,1.49161,0.95391,0.24446,1.46059,0.00871,6.7924,0.42079,0.61194,0.47479,0.23483,0.43051,0.62687,0.48566,0.38426,1.46658,1.26304,0.06582,1.70571,0.00972,0,0.0008714,0.0008714,0.0008714
59,671.203,1.4507,0.98816,0.19859,1.41105,0.0082,6.59013,0.39003,0.58209,0.45482,0.24885,0.40493,0.58209,0.46285,0.36535,1.418,1.2634,0.06695,1.5978,0.00946,0,0.0008516,0.0008516,0.0008516
60,681.716,1.53474,1.01337,0.21774,1.42683,0.00846,6.75013,0.41502,0.37313,0.39224,0.17735,0.39354,0.70149,0.48939,0.3774,1.69374,1.31993,0.07439,1.84376,0.01095,0,0.0008318,0.0008318,0.0008318
