epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
45,777.858,1.5346,0.86069,0.16192,1.56558,0.00866,6.66411,0.31834,0.52239,0.34112,0.17895,0.32744,0.53731,0.35282,0.27842,1.53777,1.16895,0.02629,2.05323,0.01013,0,0.0011288,0.0011288,0.0011288
46,794.304,1.53275,0.94104,0.20679,1.5716,0.00879,6.8701,0.31079,0.47761,0.31197,0.1668,0.30354,0.58209,0.32635,0.25201,1.47197,1.25601,0.02703,1.93319,0.00987,0,0.001109,0.001109,0.001109
47,811.353,1.58128,0.88445,0.19829,1.59262,0.00897,6.65077,0.29273,0.46269,0.30155,0.16519,0.31307,0.50746,0.32645,0.25977,1.67231,1.23116,0.03388,1.81712,0.01118,0,0.0010892,0.0010892,0.0010892
48,828.328,1.48453,0.94979,0.19428,1.66906,0.00827,6.65626,0.30531,0.47761,0.31832,0.18691,0.32528,0.51091,0.37518,0.29105,1.41599,1.09044,0.03735,2.05795,0.00924,0,0.0010694,0.0010694,0.0010694
49,849.665,1.52585,0.92707,0.21786,1.57269,0.00909,6.51692,0.3401,0.50746,0.28127,0.16052,0.3472,0.52239,0.32504,0.25184,1.55369,1.20917,0.03074,2.02808,0.0103,0,0.0010496,0.0010496,0.0010496
50,868.753,1.50601,0.98588,0.17246,1.60594,0.00878,6.53041,0.24588,0.49639,0.29225,0.15879,0.28445,0.57555,0.35154,0.28019,1.76608,1.28014,0.03978,2.0115,0.01177,0,0.0010298,0.0010298,0.0010298
51,886.876,1.56508,0.8979,0.1909,1.51519,0.00876,6.53272,0.34659,0.47761,0.2482,0.13213,0.38992,0.53731,0.30217,0.24031,1.48466,1.21971,0.03993,2.04535,0.00956,0,0.00101,0.00101,0.00101
52,903.9,1.48104,0.9384,0.16812,1.49059,0.00862,6.56711,0.32949,0.46269,0.25365,0.11832,0.36268,0.52664,0.30754,0.23767,1.6479,1.31381,0.05529,2.11221,0.01078,0,0.0009902,0.0009902,0.0009902
53,923.342,1.54216,0.91439,0.15938,1.50408,0.00859,6.27414,0.36587,0.44776,0.30295,0.12819,0.40592,0.49254,0.37882,0.29059,1.78104,0.95911,0.05453,2.09251,0.01146,0,0.0009704,0.0009704,0.0009704
54,944.168,1.51698,0.9161,0.17676,1.51063,0.00879,6.64275,0.30196,0.50746,0.27708,0.14573,0.32861,0.55224,0.31816,0.24226,1.59783,1.25546,0.05242,2.35716,0.01031,0,0.0009506,0.0009506,0.0009506
55,960.706,1.47783,0.86889,0.18659,1.4824,0.00852,6.47692,0.2736,0.49254,0.2476,0.10692,0.34258,0.59701,0.32755,0.25538,1.83019,1.28826,0.05899,2.59024,0.01206,0,0.0009308,0.0009308,0.0009308
56,977.198,1.43801,0.88907,0.16449,1.49123,0.00819,6.27795,0.27946,0.47761,0.24309,0.10818,0.30566,0.52239,0.27469,0.21424,1.61852,1.30923,0.05663,2.65783,0.01051,0,0.000911,0.000911,0.000911
57,999.066,1.49336,0.87481,0.18212,1.54388,0.00846,6.33814,0.33542,0.46269,0.29045,0.15111,0.35833,0.49254,0.31912,0.25011,1.4741,1.25916,0.04361,2.15527,0.00974,0,0.0008912,0.0008912,0.0008912
58,1016.99,1.44963,0.84861,0.19702,1.52653,0.00847,6.49427,0.45213,0.38806,0.35938,0.15339,0.45213,0.38806,0.37486,0.29241,1.53423,1.10275,0.03306,2.17718,0.01043,0,0.0008714,0.0008714,0.0008714
59,1033.39,1.44676,0.94446,0.16262,1.44767,0.00806,6.11397,0.42576,0.38733,0.36243,0.19393,0.44051,0.3996,0.38222,0.30313,1.44105,0.92581,0.02752,1.95991,0.0097,0,0.0008516,0.0008516,0.0008516
60,1051.38,1.45687,0.84865,0.16691,1.54265,0.00814,6.08707,0.3947,0.44776,0.31383,0.1688,0.40786,0.46269,0.34066,0.27176,1.59951,1.31454,0.046,2.14203,0.01065,0,0.0008318,0.0008318,0.0008318
61,1067.82,1.4486,0.98952,0.17259,1.49676,0.00819,6.05421,0.40664,0.49254,0.32759,0.17912,0.41896,0.50746,0.35424,0.27787,1.60918,1.24816,0.03774,1.81991,0.01065,0,0.000812,0.000812,0.000812
62,1084.05,1.37505,0.79725,0.18357,1.33658,0.00775,6.03467,0.43155,0.47592,0.3456,0.19822,0.44572,0.49254,0.36335,0.28515,1.50823,1.17569,0.03087,1.85811,0.00987,0,0.0007922,0.0007922,0.0007922
63,1100.34,1.38146,0.7968,0.18787,1.38171,0.00774,5.95296,0.38372,0.40894,0.34144,0.17127,0.40903,0.43389,0.38231,0.29755,1.48826,1.09798,0.03443,1.94634,0.00983,0,0.0007724,0.0007724,0.0007724
64,1121.64,1.45042,0.76114,0.1931,1.31911,0.00821,5.9073,0.333,0.61194,0.38302,0.19599,0.33763,0.60106,0.39124,0.31,1.48352,0.94893,0.02775,1.86908,0.01004,0,0.0007526,0.0007526,0.0007526
